order_details_id,order_id,Pizza_id,quantity
1,1,Hawaiian_M,1
2,2,Classic_Dlx_M,1
3,2,Five_Cheese_L,1
4,2,Ital_Supr_L,1
5,2,Mexicana_M,1
6,2,Thai_Ckn_L,1
7,3,Ital_Supr_M,1
8,3,Prsc_Argla_L,1
9,4,Ital_Supr_M,1
10,5,Ital_Supr_M,1
11,6,Bbq_Ckn_S,1
12,6,The_Greek_S,1
13,7,Spinach_Supr_S,1
14,8,Spinach_Supr_S,1
15,9,Classic_Dlx_S,1
16,9,Green_Garden_S,1
17,9,Ital_Cpcllo_L,1
18,9,Ital_Supr_L,1
19,9,Ital_Supr_S,1
20,9,Mexicana_S,1
21,9,Spicy_Ital_L,1
22,9,Spin_Pesto_L,1
23,9,Veggie_Veg_S,1
24,10,Mexicana_L,1
25,10,Southw_Ckn_L,1
26,11,Bbq_Ckn_L,1
27,11,Cali_Ckn_L,1
28,11,Cali_Ckn_M,1
29,11,Pepperoni_L,1
30,12,Cali_Ckn_L,1
31,12,Cali_Ckn_S,1
32,12,Ckn_Pesto_L,1
33,12,Ital_Supr_M,1
34,13,Mexicana_L,1
35,14,The_Greek_S,1
36,15,Big_Meat_S,1
37,15,Five_Cheese_L,1
38,15,Soppressata_L,1
39,15,The_Greek_S,1
40,16,Four_Cheese_L,1
41,16,Napolitana_S,1
42,16,Thai_Ckn_L,1
43,17,Bbq_Ckn_L,1
44,17,Calabrese_M,1
45,17,Five_Cheese_L,1
46,17,Four_Cheese_M,1
47,17,Ital_Supr_M,1
48,17,Ital_Veggie_S,1
49,17,Mediterraneo_M,2
50,17,Mexicana_L,1
51,17,Peppr_Salami_S,1
52,17,Spinach_Fet_L,1
53,18,Napolitana_L,1
54,19,Ital_Cpcllo_L,1
55,19,Sicilian_L,1
56,20,Big_Meat_S,1
57,20,Five_Cheese_L,1
58,21,Ital_Cpcllo_L,1
59,22,Five_Cheese_L,1
60,22,Ital_Cpcllo_M,1
61,22,Southw_Ckn_L,1
62,23,Southw_Ckn_S,1
63,24,Bbq_Ckn_M,1
64,24,Ital_Cpcllo_M,1
65,24,Pepperoni_M,1
