Order_Id,date,time
1,1/1/2015,11:38:36 AM
2,1/1/2015,11:57:40 AM
3,1/1/2015,12:12:28 PM
4,1/1/2015,12:16:31 PM
5,1/1/2015,12:21:30 PM
6,1/1/2015,12:29:36 PM
7,1/1/2015,12:50:37 PM
8,1/1/2015,12:51:37 PM
9,1/1/2015,12:52:01 PM
10,1/1/2015,1:00:15 PM
11,1/1/2015,1:02:59 PM
12,1/1/2015,1:04:41 PM
13,1/1/2015,1:11:55 PM
14,1/1/2015,1:14:19 PM
15,1/1/2015,1:33:00 PM
16,1/1/2015,1:34:07 PM
17,1/1/2015,1:53:00 PM
18,1/1/2015,1:57:08 PM
19,1/1/2015,1:59:09 PM
20,1/1/2015,2:03:08 PM
21,1/1/2015,2:14:29 PM
22,1/1/2015,2:16:26 PM
23,1/1/2015,2:19:03 PM
24,1/1/2015,2:23:01 PM
25,1/1/2015,2:44:44 PM
26,1/1/2015,2:54:26 PM
27,1/1/2015,3:11:17 PM
28,1/1/2015,3:35:46 PM
29,1/1/2015,3:41:01 PM
30,1/1/2015,3:41:25 PM
31,1/1/2015,3:50:18 PM
32,1/1/2015,3:53:18 PM
33,1/1/2015,3:54:08 PM
34,1/1/2015,4:21:21 PM
35,1/1/2015,4:32:04 PM
36,1/1/2015,4:54:09 PM
37,1/1/2015,4:56:09 PM
38,1/1/2015,5:03:00 PM
39,1/1/2015,5:07:23 PM
40,1/1/2015,5:14:36 PM
41,1/1/2015,5:15:20 PM
42,1/1/2015,5:28:09 PM
43,1/1/2015,5:38:34 PM
44,1/1/2015,5:54:20 PM
45,1/1/2015,5:55:48 PM
46,1/1/2015,6:25:51 PM
47,1/1/2015,6:26:34 PM
48,1/1/2015,6:26:42 PM
49,1/1/2015,6:33:00 PM
50,1/1/2015,6:41:01 PM
51,1/1/2015,6:48:28 PM
52,1/1/2015,6:53:02 PM
53,1/1/2015,6:54:17 PM
54,1/1/2015,7:01:45 PM
55,1/1/2015,7:03:19 PM
56,1/1/2015,7:07:00 PM
57,1/1/2015,7:10:51 PM
58,1/1/2015,7:30:40 PM
59,1/1/2015,7:40:08 PM
60,1/1/2015,8:05:16 PM
61,1/1/2015,8:08:43 PM
62,1/1/2015,8:50:16 PM
63,1/1/2015,8:51:42 PM
64,1/1/2015,8:52:08 PM
65,1/1/2015,9:16:00 PM
66,1/1/2015,9:47:55 PM
67,1/1/2015,10:03:40 PM
68,1/1/2015,10:07:32 PM
69,1/1/2015,10:12:13 PM
70,1/2/2015,11:38:51 AM
71,1/2/2015,11:40:50 AM
72,1/2/2015,11:57:25 AM
73,1/2/2015,11:58:56 AM
74,1/2/2015,12:01:12 PM
75,1/2/2015,12:10:15 PM
76,1/2/2015,12:21:17 PM
77,1/2/2015,12:22:46 PM
78,1/2/2015,12:28:14 PM
79,1/2/2015,12:29:11 PM
80,1/2/2015,12:35:38 PM
81,1/2/2015,12:40:01 PM
82,1/2/2015,12:45:51 PM
83,1/2/2015,12:53:27 PM
84,1/2/2015,1:13:41 PM
85,1/2/2015,1:34:49 PM
86,1/2/2015,1:40:31 PM
87,1/2/2015,2:01:02 PM
88,1/2/2015,2:10:08 PM
89,1/2/2015,2:30:19 PM
90,1/2/2015,3:08:48 PM
91,1/2/2015,3:14:43 PM
92,1/2/2015,3:17:02 PM
93,1/2/2015,3:29:31 PM
94,1/2/2015,4:17:16 PM
95,1/2/2015,4:18:04 PM
96,1/2/2015,4:21:20 PM
97,1/2/2015,4:45:33 PM
98,1/2/2015,5:18:18 PM
99,1/2/2015,5:45:42 PM
100,1/2/2015,5:46:17 PM
101,1/2/2015,5:51:33 PM
102,1/2/2015,5:54:04 PM
103,1/2/2015,6:02:09 PM
104,1/2/2015,6:02:12 PM
105,1/2/2015,6:12:01 PM
106,1/2/2015,6:12:13 PM
107,1/2/2015,6:25:09 PM
108,1/2/2015,6:25:25 PM
109,1/2/2015,6:27:50 PM
110,1/2/2015,6:36:19 PM
111,1/2/2015,6:38:01 PM
112,1/2/2015,6:41:40 PM
113,1/2/2015,6:50:21 PM
114,1/2/2015,6:59:32 PM
115,1/2/2015,7:05:17 PM
116,1/2/2015,7:18:49 PM
117,1/2/2015,7:23:02 PM
118,1/2/2015,7:26:59 PM
119,1/2/2015,7:32:29 PM
120,1/2/2015,7:35:07 PM
121,1/2/2015,7:38:48 PM
122,1/2/2015,7:50:19 PM
123,1/2/2015,8:12:09 PM
124,1/2/2015,8:12:34 PM
125,1/2/2015,8:31:06 PM
126,1/2/2015,8:53:42 PM
127,1/2/2015,8:58:23 PM
128,1/2/2015,9:05:06 PM
129,1/2/2015,9:13:02 PM
130,1/2/2015,9:14:55 PM
131,1/2/2015,9:33:10 PM
132,1/2/2015,9:42:45 PM
133,1/2/2015,10:00:17 PM
134,1/2/2015,10:13:24 PM
135,1/2/2015,10:29:34 PM
